Parent and Person SubClassOf Father, True
Parent and Person SubClassOf GrandMother, False
Parent and Person SubClassOf Son, True
Person SubClassOf Son, True
Person SubClassOf GrandMother, False
Person SubClassOf Thing, True
Person SubClassOf Son and Thing, True
Person SubClassOf Female, True
Person SubClassOf Female and Son and Thing, True
Person SubClassOf Father, True
Person SubClassOf Father and Female and Son and Thing, True
Person SubClassOf Child, True
Person SubClassOf Child and Father and Female and Son and Thing, True
Person SubClassOf Brother, True
Person SubClassOf Brother and Child and Father and Female and Son and Thing, True
Person SubClassOf Parent, True
Person SubClassOf Brother and Child and Father and Female and Parent and Son and Thing, True
Person SubClassOf Daughter, True
Person SubClassOf Brother and Child and Daughter and Father and Female and Parent and Son and Thing, True
Person SubClassOf Man, True
Person SubClassOf Brother and Child and Daughter and Father and Female and Man and Parent and Son and Thing, True
Person SubClassOf Mother, True
Person SubClassOf Brother and Child and Daughter and Father and Female and Man and Mother and Parent and Son and Thing, True
Person SubClassOf GrandParent, True
Person SubClassOf Brother and Child and Daughter and Father and Female and GrandParent and Man and Mother and Parent and Son and Thing, True
Person SubClassOf Sex, True
Person SubClassOf Brother and Child and Daughter and Father and Female and GrandParent and Man and Mother and Parent and Sex and Son and Thing, True
Person SubClassOf Sister, False
Person SubClassOf OffSpring, True
Person SubClassOf Brother and Child and Daughter and Father and Female and GrandParent and Man and Mother and OffSpring and Parent and Sex and Son and Thing, True
Person SubClassOf Woman, True
Person SubClassOf Brother and Child and Daughter and Father and Female and GrandParent and Man and Mother and OffSpring and Parent and Sex and Son and Woman and Thing, True
Person SubClassOf Male, True
Person SubClassOf Brother and Child and Daughter and Father and Female and GrandParent and Male and Man and Mother and OffSpring and Parent and Sex and Son and Woman and Thing, True
Person SubClassOf Sibling, True
Person SubClassOf Brother and Child and Daughter and Father and Female and GrandParent and Male and Man and Mother and OffSpring and Parent and Sex and Sibling and Son and Woman and Thing, True
Person SubClassOf GrandFather, True
Person SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandParent and Male and Man and Mother and OffSpring and Parent and Sex and Sibling and Son and Woman and Thing, True
GrandFather SubClassOf OffSpring, False
hasParent some GrandMother SubClassOf Male, False
GrandMother and GrandParent SubClassOf OffSpring, False
Son SubClassOf hasSex some Parent, True
Son SubClassOf GrandMother, True
Son SubClassOf Thing, True
Son SubClassOf GrandMother and Thing, True
Son SubClassOf Female, TRUE
Son SubClassOf Female and GrandMother and Thing, True
Son SubClassOf Father, True
Son SubClassOf Father and Female and GrandMother and Thing, True
Son SubClassOf Child, True
Son SubClassOf Child and Father and Female and GrandMother and Thing, True
Son SubClassOf Person, True
